Course		Title		Course Description 

GS/MATH 	6631 3.00	Applied Statistics II
GS/MATH 	6632 3.00	Multivariate Statistics
GS/MATH 	6633 3.00	Theory and Methods of Time Series Analysis
GS/MATH 	6635 3.00	Introduction to Bayesian Statistics
GS/MATH 	6651 3.00	Advanced Numerical Methods
GS/MATH 	6652 3.00	Numerical Solutions to Differential Equations
GS/MATH 	6900 3.00	Operations Research I
GS/MATH 	6901 3.00	Operations Research II
GS/MATH 	6910 3.00	Stochastic Calculus In Finance
GS/MATH 	6911 3.00	Numerical Methods in Finance
GS/MATH 	6931 3.00	Mathematical Modeling
GS/MATH 	6937 3.00	Practicum in Industrial & Applied Mathematics	
